Timestamp,Posted,Duration,Updated_Duration,Summary
2021-07-31 21:30:00,2021-08-16,30,,Blue lights and sharp maneuvers.
2021-07-31 01:30:00,2021-08-16,Looking at the sky,,"When I was sitting outside I've seened 6 glowing orange lights coming from JFK airport in the sky,not making any sounds all six of them"
2021-07-29 23:30:00,2021-08-16,ongoing,,"Bright, white hot light or reflection off the sun, silent, not moving, old or circular shape."
2021-07-24 16:50:00,2021-08-16,Unsure,,Some kind of aircraft with an oval of light to accompany it.
2021-07-23 05:30:00,2021-08-16,1 mile,,Grasses laid down in weird patterns for over a mile
2021-07-21 03:01:00,2021-08-16,Ongoing,,Perfectly circular formation of even pure white light of intense luminosity
2021-07-20 09:18:00,2021-08-16,09:18,,UFO sighting during Blue Origin launch.
2021-07-17 20:30:00,2021-08-16,10 days+,,"1 blue line, 2 red glowing domes. Almost transparent entities (dim direct light behind them, illuminated by direct light above them.)"
2021-07-17 20:30:00,2021-08-16,9 days (most days sunset,,"Black/silver cones, dome top, red(0/20mph)/white(60mph). Aliens use invisibility cloaks are illuminated by light above/dim light behind"
2021-07-12 09:40:00,2021-08-16,Leaving work,,I was looking at the moon we had that night and as I looked down to the pictures I took I seen something I didn't see in the sky nor in
2021-07-11 13:48:00,2022-05-31,Picture taken phone,,Tic tac white round spots in sky over Crown Point from a picture taken from phone while driving
2021-07-10 09:20:00,2021-08-16,9:28,,2 lights/No Sound/ 45% between them. Hovering over neighborhood
2021-07-10 00:15:00,2021-08-16,8 days,,Many UFOs gathering in the night sky above Sarasota. Noticed 1 on 7/10/2021 and the sky has been full of them since.
2021-07-09 22:42:00,2021-10-19,1,,Small floating light/disk. Hovered for about a minute getting brighter and duller. It then started to move further away and disappeared
2021-07-08 21:22:00,2021-08-16,3:00,,Large as the setting sun round orange molten sphere moving through the sky
2021-07-05 10:00:00,2021-08-16,Still durating,,"I feel our bodies are taken by E.T'S AND ALSO THE MIND OR BODY MAY ALSO BE POSSESSED BY PAST SPIRITS OF THE EVIL OR WHAT NOT SEX, AND M"
2021-07-03 10:00:00,2021-08-16,2,,Fairly high in the sky my boyfriend and I spotted a bright orange light. It caught our attention as odd right from the start. It didn't
2021-08-26 15:30:00,2021-09-07,15,,Objects right before line of thunderstorms
2021-08-25 20:00:00,2021-09-07,24,,Tmz and new York post and celebritys and you and authoritys knows about the supernatural test of a goddess I can do and part why UFO wa
2021-08-25 20:00:00,2021-09-07,24,,Add to extremely real reports and evidence UFO watching me and I have paranormal mouth I know of a planet were 2 moons and if your look
2021-08-21 07:09:00,2022-06-22,Showed up in picture,,Taking pictures on sunrise over the ocean and I noticed later in my photograph
2021-08-20 02:00:00,2022-05-31,not sure-woke/ heard/saw,,Beings on our property nightly coming over our house. Have proof.
2021-08-15 22:38:00,2021-09-07,3:30,,Strange moving light in the sky
2021-08-15 18:30:00,2022-06-22,Flight from pit to las,,Took photos of thunderstorms in the Midwest/southwest region is the USA. Captured a tic-tac uap
2021-08-10 07:15:00,2021-08-16,At work,,So at work yesterday the sky was looking beautiful and I took out my phone and proceeded to take photos of the sky and when I clocked o
2021-08-08 20:00:00,2021-08-20,24,,In past reported there black holethen did things in space I told on but TSA security concerns June file 9th is needed 1 on earth 2018 s
2021-08-05 23:09:00,2021-08-16,1:13,,((NUFORC Note: Witness provides no detailed information. PD))
2021-08-05 22:32:00,2021-09-07,25,,UFO near Offutt AFB in NE.
2021-08-05 20:00:00,2021-09-07,24,,((HOAX))Top secret test !! Usa a patriot unmaned drone A mini gun will see the miricals test works Top secret test !
2021-08-05 20:00:00,2021-09-07,24,,((HOaX)) Warning don't do goddess test on roots just me and offspring from XXX ( don't laff) Check DNA as well
2021-08-05 20:00:00,2021-09-07,24,,((HOAX)) Nothing I can do but as nasa finds out this stuff I'm the white power as in white light Proficy and white mouth paranormal
2021-08-05 20:00:00,2021-09-07,24,,((HOAX))Studdys for nasa need to be proficys and history and goddess test like do exodest 2;2 in bibles Then watch the breeder
2021-08-05 20:00:00,2021-09-07,24,,((HOAX)) See the file registration Montgomery county sheriff's office supernatural then did you see a huge silver UFO ??
2021-08-05 20:00:00,2021-09-07,24,,((HOAX)) Medical medications I'm not supposed to and the seamen is god's ink The lithium is a garden formula.
2021-08-04 22:00:00,2021-08-20,3 events over 5 hours,,Holographic Grid of Light Display after Seeing Craft
2021-08-04 02:08:00,2021-08-16,it's been every night,,"it's been happening for the past year+ ""there are about 1-5 orbs or so they appear to be or like another star in the sky brig"
2021-08-03 21:27:00,2021-08-16,1:43,,3 craft in formation fly by the do a 180 phasing in and out of visibility I have a video.
2021-09-30 21:25:00,2021-10-19,01:00,,"Single, Bright Object moving like a Heartbeat Waveform for 30-45 Seconds.. Looked away for a few seconds, then it was gone."
2021-09-28 20:10:00,2022-06-22,Time seemed to stand stil,,While driving home from work I saw six very bright lights to my right and then a boomerang shaped craft was directly over my car.
2021-09-23 00:00:00,2021-10-19,Unsure,,Saw a round bright light in sky not moving or blinking like stars do when I zoomed in on video looked like a heat signature of a body i
2021-09-21 00:00:00,2021-10-19,Every night,,Every night I have these that stay above not house. Some hover and some actually fly around with red and green and blue lights flashing
2021-09-20 20:15:00,2021-10-19,flashes,,Flash of rectangular light in the eastern night sky in Wisconsin
2021-09-20 12:00:00,2021-10-19,Straight,,I saw a ufo in the air with a bright little light I didnt know what to do but just watch and at 0:00 I heard a noise and i put up my c
2021-09-15 20:45:00,2021-10-19,8,,"On this evening it was dark and partly cloudy. While listening to a live band outside and watching the SpaceX launch live on my phone,"
2021-09-15 00:00:00,2021-10-19,Multiple hours,,For multiple nights on clear nights I am able to observe to the west what appears to be a floating pyramid with just the outside edges
2021-09-13 21:00:00,2021-10-19,30,,West valley sighting heading 270 out past the white tanks rotating stationary ball of multiply vibrant colors at high alt.
2021-09-13 03:15:00,2021-10-19,Still happening,,At about 15 miles distance we observed a huge saucer with multitudes of lights ascending and then disappearing into the craft.
2021-09-12 03:00:00,2021-10-19,Still actually,,"They're characters in the form of spheres, plazma-like entities (both are in few or more different sizes)plazma-like ones are in multip"
2021-09-10 00:30:00,2021-10-19,10:00,,"A multi colored cigar shaped object emitting no sound and the size of a school bus, glided over the tope of my truck while stopped."
2021-09-10 00:30:00,2021-10-19,10:00,,Friday Morning: 9/10/2021 Time: 00:30 I had just gotten off work and was driving north on highway 17 in Brunswick. I noticed a bright
2021-09-04 12:45:00,2021-09-07,4:00,,It was about 1 in the afternoon going through Taco Bell looking up over Dodge dealership and seeing 7 tiny diamond shaped objects at fi
2021-10-25 20:45:00,2021-11-15,Continuing,,LARGE GLOWING OBJECT IN SKY
2021-10-25 20:45:00,2021-10-26,continuing,,"Weather conditions at time of sighting: Temperature 79 F, Barometric Pressure 29.94 in, Visibility 10 miles, Clouds Partly Cloudy, Dew"
2021-10-24 02:30:00,2021-10-26,Ongoing,,Heard footfalls outside window. Was having intimate time with my wife. Flash ofights and believed our photo had been taken. Stopped a
