Timestamp,City,State,Shape,Duration,Summary,Posted,Images,Updated_Duration,Coords,Lat,Lng,geometry
2021-07-31 22:00:00,Benicia,CA,Sphere,1 hour,Experienced a UFO drive-by until it came down to me!,2021-12-19,0,60.0,"(-122.15556335, 38.05392456)",-122.15556335,38.05392456,POINT (-122.15556335 38.05392456)
2021-07-31 21:30:00,Fremont,CA,Oval,30,Blue lights and sharp maneuvers.,2021-08-16,0,1.0,"(-121.98082733, 37.55020142)",-121.98082733,37.55020142,POINT (-121.98082733 37.55020142)
2021-07-31 21:15:00,El Dorado,CA,Light,15 min,"Unexplained lights in the sky, moving erratically and quickly right and left, up and down",2021-08-16,0,15.0,"(-120.84700775, 38.68222427)",-120.84700775,38.68222427,POINT (-120.84700775 38.68222427)
2021-07-31 20:45:00,Windsor,VA,Circle,Only observed for a few m,"Exceptionally big and bright star/planet-like light briefly appears in SE sky, then vanishes, as though getting shut off.",2021-08-16,0,3.0,"(-76.74319458, 36.8080101)",-76.74319458,36.8080101,POINT (-76.74319458 36.8080101)
2021-07-31 18:30:00,Staton Island,NY,Other,30 Seconds,Black Icosahedron Approximately 10ft in Diameter,2022-03-04,1,0.5,"(-74.07620239, 40.64349747)",-74.07620239,40.64349747,POINT (-74.07620239 40.64349747)
2021-07-31 15:00:00,San Antonio,TX,Circle,2hrs,4 orb white balls hovering in the sky over San Antonio TX.,2021-08-16,0,120.0,"(-98.49461365, 29.4251709)",-98.49461365,29.4251709,POINT (-98.49461365 29.4251709)
2021-07-31 14:00:00,Carlsbad,CA,Other,4 minutes,"I was out with a group of friends during the day in Carlsbad, CA. Its hard to describe on paper, I was siting down at a restaurant an",2021-09-07,0,4.0,"(-117.33792877, 33.16603851)",-117.33792877,33.16603851,POINT (-117.33792877 33.16603851)
2021-07-31 10:00:00,Manahawkin,NJ,Light,1 minute,"Sitting around a backyard campfire, we saw a bright light appear to be lower than an airplane flight path and had a much brighter/white",2021-08-16,0,1.0,"(-74.25818634, 39.69673157)",-74.25818634,39.69673157,POINT (-74.25818634 39.69673157)
2021-07-31 03:36:00,Ukiah,CA,Circle,38 seconds,For a whole month strange lights had kept appearing in the sky almost directly above me for a whole month.,2022-03-04,1,0.6333333333333333,"(-123.20763397, 39.14999771)",-123.20763397,39.14999771,POINT (-123.20763397 39.14999771)
2021-07-31 02:00:00,Eaton,OH,Triangle,5 minutes,I let my dog out just after 2 a.m and saw 2 bright blueish silver fast flashing triangular objects. One over the other a small distanc,2021-08-16,0,5.0,"(-84.63641357, 39.7478981)",-84.63641357,39.7478981,POINT (-84.63641357 39.7478981)
2021-07-31 01:30:00,South Ozone Park,NY,Light,Looking at the sky,"When I was sitting outside I've seened 6 glowing orange lights coming from JFK airport in the sky,not making any sounds all six of them",2021-08-16,0,1.0,"(-73.8160553, 40.67350006)",-73.8160553,40.67350006,POINT (-73.8160553 40.67350006)
